timestamp	hr								ecg
2025-11-19 18:46:31.849000+00:00									-52,-96,-60,-157,-60,-130,-103,-82,-59,186,-35,64
2025-11-19 18:28:16.878000+00:00									-414,-434,-357,-451,-290,-244,-162,-93,-31,131,32
2025-11-19 18:33:32.575000+00:00									-239,-203,-275,-245,-209,-178,-204,-208,-177,-257,-284
2025-11-19 18:33:47.840000+00:00									-189,46,-194,-118,-214,-216,-223,-231,-1,-206,-135,-221
2025-11-19 18:17:14.376000+00:00									-144
2025-11-19 18:12:32.866000+00:00									89,120,134,114,123,41,-10,-108,-125,-210,-291,-280
2025-11-19 18:28:41.961000+00:00									-75,-97,-79,-92,-49,-61,-87,-71,-70,-34,-28,-54,25
2025-11-19 18:30:54.241000+00:00									201,201,192,191,189,-28,-242,-428
2025-11-19 18:26:40.825000+00:00									-154
2025-11-19 18:45:36.416000+00:00									-169,-204,-338,-347,-326,-284,60,-190
2025-11-19 18:18:34.436000+00:00									200,201,193,72,-52,-199,-239,-212,-55,22,-68
2025-11-19 18:32:38.830000+00:00									-154
2025-11-19 18:25:11.078000+00:00									202,-153,-153,-152
2025-11-19 18:27:56.627000+00:00									28,112,200,192,192,191,191,190,165,-21,-91,-332
2025-11-19 18:05:37.226000+00:00									-96,-145,-147,-154,-149,-149,-154,-151,-153,-150
2025-11-19 18:20:33.026000+00:00									-195,-224,-243,-243,-206,14,-211,-176,-242,-193
2025-11-19 18:20:12.751000+00:00									206,-148,-154,-155,-156,-155,-148,-148,-148,-155,-153
2025-11-19 18:42:16.299000+00:00									149,83,189,189,197,188,28,-23,-225,-109
2025-11-19 18:09:32.444000+00:00									-167
2025-11-19 18:08:25.256000+00:00									-100,-136,-145,-125,-133,-131,-125,-150,-151,-128,-291
2025-11-19 18:17:38.936000+00:00									-188
2025-11-19 18:17:33.528000+00:00									-409,-356,-378,-332,-113,-147,-195,-147,-151,198,199,200,198,199,199,200,199,34,197,199,-147,200,202,212,214,214,198,200,199,200,200,4,-123,-248,-289,-306,-129,-286
2025-11-19 18:04:31.534000+00:00									202
2025-11-19 18:25:52.185000+00:00									126,170,-7,-102,-209,-297,-76,-472,-451
2025-11-19 18:44:45.863000+00:00									-7,-79,-114,-214,-211,-197,30,-193,-211,-369,-370
2025-11-19 18:46:06.478000+00:00									195,-10,188,189,187,29,-77,25,189,189,189
2025-11-19 18:34:22.991000+00:00	84								-178,-188,-162,-170,-207,-205,-196,-186,-252,-156,-57
2025-11-19 18:43:50.327000+00:00									29,-94,-211,-45,-31,-23,-98,-138,-225,-174,-130
2025-11-19 18:12:02.675000+00:00									-148
2025-11-19 18:06:02.515000+00:00									-191,-155,-156,-155,-158,-145,-151,-151,-154,-149,-153
2025-11-19 18:27:26.301000+00:00									24,-172,-154,-153
2025-11-19 18:23:57.135000+00:00									-135
2025-11-19 18:14:52.047000+00:00									-118,-92,-128,-160,-301,-422,-308,-173
2025-11-19 18:20:53.800000+00:00									-153
2025-11-19 18:44:00.519000+00:00									-106,-193,-257,-341,-321,-295,-184,-418,-326,-233,-98,-39
2025-11-19 18:21:04.177000+00:00									-121,-176
2025-11-19 18:25:57.154000+00:00									143,191,-386,-343
2025-11-19 18:46:41.990000+00:00	75								-48,-42,-22,-215,-306,-356,-349,-186,-471,-367,-388,-307
2025-11-19 18:19:47.773000+00:00									-506,-387,-255,-239,-36,53,113,67
2025-11-19 18:46:36.861000+00:00									-199,-239,-267,-206,-226,-199,-170,-128,7,-122,-66
2025-11-19 18:25:00.399000+00:00									159
2025-11-19 18:45:05.909000+00:00									-94,-315,-353,-356,-317,-267,-188,-147,-44,-133,-149,-136
2025-11-19 18:24:42.176000+00:00									-133
2025-11-19 18:45:41.592000+00:00									-187,-265,-297,189,-156,43,197,188,188,187,128,-1
